Epoch,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1
1,0.4419,0.8611,0.3351,0.3315,0.3543,0.8627,0.348,0.3438
2,0.2789,0.8932,0.4742,0.6091,0.3328,0.8848,0.578,0.5989
3,0.1901,0.9268,0.6742,0.6998,0.3711,0.8733,0.6315,0.6274
4,0.1267,0.9573,0.8033,0.8027,0.4184,0.8733,0.628,0.639
5,0.0887,0.9688,0.862,0.8566,0.5845,0.8738,0.4772,0.5388
6,0.0773,0.9744,0.8831,0.8884,0.5012,0.8807,0.6223,0.6293
7,0.0409,0.9883,0.9442,0.9456,0.5562,0.8761,0.6197,0.6196
8,0.0268,0.993,0.9649,0.9657,0.5912,0.8765,0.6305,0.6292
9,0.0186,0.9965,0.9815,0.9774,0.6126,0.8779,0.5732,0.6145
10,0.0165,0.9959,0.981,0.9821,0.6069,0.8775,0.6168,0.6225
11,0.0147,0.9965,0.9807,0.9832,0.6107,0.8761,0.5948,0.6256
12,0.0408,0.9867,0.9513,0.9445,0.5358,0.8834,0.5602,0.6232
13,0.0528,0.9812,0.912,0.9125,0.5564,0.8632,0.6138,0.5967
14,0.0294,0.991,0.9588,0.9606,0.6402,0.8761,0.6187,0.6331
15,0.0183,0.9933,0.9732,0.973,0.6567,0.8793,0.6669,0.6296
16,0.0245,0.993,0.9639,0.9626,0.6918,0.871,0.5852,0.6143
17,0.0101,0.9971,0.9901,0.9901,0.7396,0.882,0.5662,0.6064
18,0.0068,0.9984,0.9926,0.9922,0.7365,0.8784,0.5869,0.6195
19,0.0053,0.999,0.9957,0.9967,0.7445,0.8797,0.5901,0.6229
20,0.006,0.9983,0.9937,0.9935,0.7461,0.8811,0.5877,0.6231
21,0.0057,0.999,0.9943,0.9957,0.7446,0.8807,0.5935,0.6258
22,0.0048,0.9988,0.9946,0.9955,0.7866,0.8765,0.5968,0.6249
23,0.0045,0.9988,0.9949,0.9951,0.8376,0.8797,0.5788,0.6139
24,0.0124,0.9963,0.9876,0.9877,0.7278,0.8788,0.571,0.611
25,0.0121,0.9959,0.9832,0.9852,0.7897,0.8797,0.5931,0.6173
26,0.0113,0.9966,0.9866,0.9861,0.8068,0.8696,0.5908,0.6135
27,0.0064,0.9988,0.9947,0.9946,0.8259,0.8742,0.5663,0.6007
28,0.0052,0.9988,0.995,0.9961,0.8067,0.871,0.5884,0.6137
29,0.0038,0.9993,0.9975,0.9971,0.8222,0.8729,0.5756,0.6091
30,0.0021,0.9995,0.9959,0.9974,0.8253,0.8738,0.5816,0.6138
31,0.0024,0.9995,0.9987,0.9989,0.8282,0.8765,0.5793,0.6134
32,0.0019,0.9998,0.9985,0.9992,0.8666,0.8765,0.6011,0.6284
33,0.0015,0.9998,0.9988,0.9993,0.8874,0.8797,0.595,0.6261
34,0.0137,0.9954,0.9856,0.9869,0.8203,0.8797,0.52,0.5846
35,0.0124,0.9962,0.9846,0.9843,0.7354,0.8752,0.5727,0.6046
36,0.0074,0.9976,0.9846,0.9855,0.829,0.8816,0.5676,0.6199
37,0.0044,0.9987,0.9945,0.9957,0.8246,0.8775,0.5416,0.5802
38,0.0034,0.9992,0.9959,0.9969,0.8233,0.8807,0.5886,0.6196
39,0.0015,0.9998,0.9983,0.999,0.8283,0.8825,0.6045,0.6291
40,0.0016,0.9995,0.9965,0.9967,0.8358,0.8811,0.5875,0.6195
41,0.0014,0.9998,0.9989,0.9994,0.8352,0.8816,0.5924,0.6236
42,0.0071,0.998,0.9888,0.9879,0.8188,0.8752,0.6144,0.6406
43,0.0099,0.9972,0.9916,0.9911,0.8309,0.8793,0.5738,0.6032
44,0.0105,0.9969,0.9868,0.9838,0.8311,0.877,0.5923,0.6245
45,0.0174,0.9946,0.9784,0.9801,0.7437,0.8738,0.6152,0.6212
46,0.0071,0.9981,0.9943,0.9947,0.7674,0.8788,0.6082,0.6262
47,0.006,0.998,0.9904,0.9918,0.7526,0.8747,0.6073,0.6225
48,0.0029,0.999,0.9951,0.9957,0.8141,0.8779,0.5866,0.62
49,0.0017,0.9995,0.9971,0.9983,0.8246,0.8775,0.6088,0.6349
50,0.002,0.9994,0.9973,0.9975,0.8346,0.8793,0.5854,0.6194
