Epoch,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1
1,0.7915,0.6444,0.6444,0.6332,0.5093,0.8046,0.8046,0.806
2,0.3464,0.8787,0.8787,0.8783,0.3084,0.9034,0.9034,0.9029
3,0.1865,0.9432,0.9432,0.9432,0.2899,0.8997,0.8997,0.9008
4,0.1072,0.9704,0.9704,0.9704,0.2962,0.9117,0.9117,0.9119
5,0.075,0.9804,0.9804,0.9804,0.276,0.9218,0.9218,0.9215
6,0.0498,0.987,0.987,0.987,0.3141,0.9218,0.9218,0.9223
7,0.0375,0.9897,0.9897,0.9897,0.3316,0.9199,0.9199,0.9203
8,0.0259,0.9938,0.9938,0.9938,0.3543,0.9212,0.9212,0.9217
9,0.0202,0.9949,0.9949,0.9949,0.3463,0.9239,0.9239,0.9242
10,0.0154,0.9965,0.9965,0.9965,0.3468,0.9264,0.9264,0.9266
11,0.0151,0.9966,0.9966,0.9966,0.3495,0.9258,0.9258,0.9259
12,0.0377,0.9886,0.9886,0.9886,0.3362,0.9209,0.9209,0.9213
13,0.039,0.988,0.988,0.988,0.3493,0.9209,0.9209,0.9212
14,0.0264,0.9921,0.9921,0.9921,0.3566,0.9227,0.9227,0.9223
15,0.0193,0.9946,0.9946,0.9946,0.353,0.9175,0.9175,0.9183
16,0.0085,0.9979,0.9979,0.9979,0.4009,0.9258,0.9258,0.9258
17,0.007,0.9988,0.9988,0.9988,0.4027,0.9267,0.9267,0.9269
18,0.0046,0.9992,0.9992,0.9992,0.4135,0.9258,0.9258,0.9258
19,0.0049,0.9991,0.9991,0.9991,0.4015,0.9282,0.9282,0.9281
20,0.0027,0.9996,0.9996,0.9996,0.412,0.9285,0.9285,0.9287
21,0.0036,0.9992,0.9992,0.9992,0.411,0.9285,0.9285,0.9287
22,0.0233,0.993,0.993,0.993,0.3751,0.9138,0.9138,0.9145
23,0.0183,0.995,0.995,0.995,0.3467,0.9285,0.9285,0.9284
24,0.0111,0.9965,0.9965,0.9965,0.3927,0.9233,0.9233,0.9227
25,0.0088,0.9972,0.9972,0.9972,0.4117,0.9282,0.9282,0.9281
26,0.0062,0.9984,0.9984,0.9984,0.4224,0.9261,0.9261,0.9261
27,0.0056,0.9987,0.9987,0.9987,0.4052,0.9291,0.9291,0.9291
28,0.0029,0.9992,0.9992,0.9992,0.4131,0.9288,0.9288,0.9289
29,0.0011,0.9999,0.9999,0.9999,0.4256,0.9298,0.9298,0.9298
30,0.0027,0.9995,0.9995,0.9995,0.4089,0.9301,0.9301,0.9302
