Epoch,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1
1,0.174,0.9436,0.9361,0.9365,0.2732,0.9141,0.8948,0.8996
2,0.1012,0.9704,0.9671,0.9668,0.2565,0.9254,0.925,0.9176
3,0.0696,0.9805,0.9791,0.9782,0.2972,0.9255,0.908,0.9152
4,0.0543,0.9844,0.9829,0.9827,0.3091,0.9233,0.922,0.9153
5,0.0387,0.9885,0.9871,0.9871,0.2902,0.9298,0.9212,0.9216
6,0.0234,0.9933,0.9928,0.9923,0.3094,0.9322,0.9207,0.9234
7,0.0173,0.995,0.9944,0.9945,0.3395,0.9279,0.9212,0.9205
8,0.0135,0.996,0.9956,0.9954,0.3337,0.9301,0.9222,0.9208
9,0.0105,0.9972,0.9969,0.9969,0.3347,0.9322,0.9262,0.9237
10,0.0067,0.9985,0.9982,0.9982,0.3454,0.9322,0.9267,0.9231
11,0.0056,0.9983,0.9982,0.9981,0.3415,0.9319,0.9277,0.9243
12,0.0324,0.9906,0.9896,0.9895,0.368,0.919,0.9049,0.9091
13,0.0375,0.9878,0.9863,0.9863,0.3681,0.9199,0.9172,0.9089
14,0.0251,0.9918,0.991,0.9907,0.3379,0.9295,0.9211,0.921
15,0.0126,0.9964,0.9964,0.9961,0.3512,0.9288,0.9192,0.9203
16,0.0079,0.9975,0.9972,0.9972,0.3274,0.9356,0.9283,0.9274
17,0.0064,0.9983,0.9981,0.9981,0.3624,0.9319,0.9188,0.9227
18,0.0052,0.9981,0.9976,0.9978,0.3701,0.9304,0.9231,0.9204
19,0.0029,0.9989,0.9987,0.9986,0.3786,0.9356,0.9264,0.9268
20,0.0019,0.9995,0.9994,0.9995,0.3739,0.9368,0.9279,0.9294
21,0.0024,0.9993,0.9991,0.9992,0.3685,0.9377,0.9273,0.9283
22,0.01,0.9969,0.9965,0.9965,0.3985,0.9279,0.9113,0.9167
23,0.0146,0.9956,0.9951,0.9948,0.3747,0.9307,0.9177,0.9205
24,0.0128,0.9963,0.9956,0.9958,0.3684,0.9298,0.9153,0.9186
25,0.0096,0.9979,0.9976,0.9976,0.4008,0.9273,0.9221,0.9183
26,0.0059,0.9982,0.9981,0.9981,0.4338,0.9285,0.9223,0.9202
27,0.0051,0.9985,0.9983,0.9984,0.397,0.9273,0.9209,0.9184
28,0.004,0.999,0.999,0.9989,0.397,0.9307,0.92,0.9206
29,0.0014,0.9995,0.9995,0.9994,0.4075,0.9307,0.923,0.9225
30,0.0008,0.9998,0.9998,0.9998,0.4123,0.9307,0.9232,0.9217
31,0.0009,0.9997,0.9996,0.9996,0.4122,0.9313,0.9216,0.9229
32,0.0149,0.9953,0.9949,0.9947,0.3734,0.9224,0.9079,0.9116
33,0.0166,0.9944,0.9938,0.9937,0.3461,0.9334,0.9298,0.9239
34,0.0105,0.9971,0.9965,0.9964,0.3804,0.9292,0.9278,0.9215
35,0.0097,0.9973,0.9971,0.9972,0.3335,0.9389,0.9306,0.9311
36,0.0046,0.9987,0.9984,0.9984,0.4013,0.9337,0.9316,0.925
37,0.0026,0.9992,0.9991,0.9991,0.443,0.928,0.9229,0.9182
38,0.0016,0.9995,0.9995,0.9995,0.4327,0.9313,0.9252,0.9225
39,0.0013,0.9997,0.9997,0.9997,0.4126,0.9356,0.9285,0.9278
40,0.0005,0.9999,0.9999,0.9999,0.4164,0.9353,0.9281,0.9274
41,0.0023,0.9995,0.9994,0.9994,0.4096,0.9352,0.9262,0.9255
42,0.0052,0.9984,0.9981,0.9981,0.3623,0.9337,0.9182,0.9234
43,0.0111,0.9966,0.9962,0.9963,0.3036,0.9316,0.9235,0.9233
44,0.0134,0.9965,0.9962,0.9961,0.3727,0.9315,0.929,0.9234
45,0.0078,0.9979,0.9976,0.9976,0.3504,0.9349,0.9223,0.9257
46,0.0052,0.9986,0.9985,0.9985,0.4215,0.9322,0.9225,0.924
47,0.0012,0.9995,0.9993,0.9994,0.4355,0.9304,0.9251,0.9209
48,0.0024,0.9994,0.9994,0.9994,0.4232,0.9353,0.9258,0.9275
49,0.0016,0.9998,0.9998,0.9998,0.4163,0.9356,0.9265,0.9281
50,0.001,0.9998,0.9997,0.9997,0.4186,0.9362,0.9264,0.9275
