Epoch,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1
1,0.8489,0.6018,0.5424,0.5325,0.5301,0.7913,0.7781,0.7713
2,0.3576,0.8729,0.8579,0.8571,0.3076,0.8909,0.8807,0.8791
3,0.189,0.9412,0.9344,0.9341,0.287,0.9063,0.902,0.8983
4,0.1121,0.9662,0.9643,0.9626,0.271,0.9135,0.9007,0.9044
5,0.0737,0.9785,0.9766,0.9758,0.2815,0.9267,0.9206,0.9195
6,0.0493,0.9868,0.9861,0.9855,0.2965,0.9201,0.9207,0.9125
7,0.0305,0.9925,0.9921,0.9915,0.3256,0.9243,0.9184,0.9162
8,0.0204,0.9951,0.995,0.9949,0.3383,0.9279,0.9231,0.9209
9,0.0187,0.9956,0.9952,0.995,0.3243,0.9282,0.9247,0.922
10,0.0123,0.9974,0.9974,0.9972,0.3324,0.9282,0.9207,0.9204
11,0.013,0.9971,0.997,0.9968,0.3359,0.9285,0.9213,0.9211
12,0.0376,0.9883,0.9877,0.9873,0.3455,0.9177,0.9149,0.9098
13,0.0346,0.9891,0.9886,0.988,0.3166,0.9168,0.9032,0.9067
14,0.0243,0.994,0.9935,0.9935,0.327,0.9189,0.9153,0.9102
15,0.0131,0.9964,0.9961,0.996,0.3771,0.9171,0.9122,0.908
16,0.0148,0.9956,0.9952,0.9951,0.3393,0.9303,0.9246,0.9235
17,0.0076,0.998,0.9977,0.9977,0.359,0.9285,0.9232,0.9208
18,0.0048,0.999,0.9989,0.9989,0.389,0.9267,0.9231,0.9191
19,0.0046,0.9985,0.9984,0.9984,0.3653,0.9328,0.9265,0.9253
20,0.0027,0.9993,0.9992,0.9993,0.362,0.9331,0.9275,0.9253
21,0.0017,0.9995,0.9995,0.9995,0.3623,0.9319,0.9267,0.9242
22,0.0105,0.9972,0.9971,0.997,0.3549,0.921,0.9165,0.9127
23,0.0176,0.9947,0.9945,0.9944,0.3522,0.934,0.9258,0.9266
24,0.0134,0.9962,0.9956,0.9955,0.3731,0.9309,0.9211,0.9225
25,0.0112,0.9966,0.9964,0.9963,0.3635,0.9276,0.9247,0.9198
26,0.0087,0.9974,0.9972,0.9971,0.3852,0.9288,0.9216,0.9208
27,0.0061,0.9982,0.9982,0.9982,0.3599,0.9361,0.9256,0.9281
28,0.0018,0.9995,0.9995,0.9995,0.373,0.9355,0.9267,0.928
29,0.0015,0.9997,0.9997,0.9997,0.3716,0.9315,0.9262,0.924
30,0.0014,0.9998,0.9998,0.9998,0.3757,0.9324,0.9246,0.9244
31,0.0013,0.9995,0.9995,0.9994,0.377,0.9327,0.9248,0.9247
32,0.0011,0.9997,0.9996,0.9996,0.4464,0.9309,0.9161,0.9215
33,0.0088,0.9975,0.997,0.9972,0.3976,0.9316,0.9221,0.9231
34,0.0117,0.9968,0.9963,0.9962,0.4277,0.9225,0.909,0.9129
35,0.0106,0.9973,0.9971,0.9971,0.3883,0.9264,0.9215,0.9179
36,0.0032,0.9995,0.9994,0.9995,0.3947,0.9333,0.9265,0.9255
37,0.0035,0.9992,0.999,0.999,0.3897,0.9318,0.9299,0.9244
38,0.0011,0.9996,0.9995,0.9995,0.3845,0.9366,0.9283,0.9286
39,0.0007,0.9998,0.9997,0.9998,0.3921,0.9357,0.928,0.9279
40,0.0006,0.9998,0.9999,0.9998,0.3919,0.936,0.9266,0.9277
41,0.0014,0.9996,0.9996,0.9996,0.3917,0.9354,0.9266,0.9271
42,0.0057,0.9985,0.9983,0.9983,0.3987,0.9255,0.9237,0.9188
43,0.0166,0.9953,0.9948,0.9947,0.3664,0.9282,0.9212,0.9198
44,0.0094,0.9979,0.9976,0.9975,0.3415,0.934,0.9257,0.9261
45,0.0062,0.9982,0.998,0.9981,0.4027,0.9325,0.9251,0.9243
46,0.0034,0.9992,0.9991,0.9991,0.3847,0.934,0.9278,0.9261
47,0.0022,0.9993,0.9993,0.9993,0.4051,0.9334,0.9273,0.9253
48,0.0019,0.9994,0.9994,0.9993,0.3971,0.934,0.9245,0.9258
49,0.0006,0.9998,0.9998,0.9998,0.3975,0.9352,0.9304,0.9281
50,0.0003,1.0,1.0,1.0,0.4006,0.9346,0.9289,0.9272
